title,code,description,discount_type,discount_value,store_slug,affiliate_url,expires_at,verified,is_featured,category_names
20% Off First Order,WELCOME20,"Get 20% off your first order when you sign up",percentage,20,amazon,https://your-affiliate-link,2026-12-31,true,true,"Electronics,Fashion"
Free Shipping on Orders $35+,FREESHIP,"Free standard shipping on orders over $35",free_shipping,0,amazon,https://your-affiliate-link,2026-12-31,true,false,"Electronics,Fashion,Home & Garden"
15% Off Electronics,ELEC15,"Save 15% on electronics and gadgets",percentage,15,bestbuy,https://your-affiliate-link,2026-06-30,true,true,"Electronics"
$50 Off Laptops Over $500,LAPTOP50,"Get $50 off laptops priced $500 or more",fixed,50,bestbuy,https://your-affiliate-link,2026-07-31,true,false,"Electronics"
Buy 1 Get 1 Free,BOGO,"Buy one get one free on select items",bogo,0,target,https://your-affiliate-link,2026-05-31,true,false,"Fashion,Home & Garden"
10% Off All Shoes,SHOES10,"Save 10% on all footwear",percentage,10,nike,https://your-affiliate-link,2026-08-31,true,true,"Fashion,Sports & Outdoors"
$30 Off Orders Over $100,SAVE30,"Get $30 off when you spend $100 or more",fixed,30,nike,https://your-affiliate-link,2026-06-30,true,false,"Fashion,Sports & Outdoors"
25% Off Winter Collection,WINTER25,"Save 25% on winter collection items",percentage,25,adidas,https://your-affiliate-link,2026-03-31,true,false,"Fashion,Sports & Outdoors"
Extra 15% Off Sale,EXTRA15,"Get an extra 15% off sale items",percentage,15,adidas,https://your-affiliate-link,2026-04-30,false,false,"Fashion,Sports & Outdoors"
Free Shipping on Everything,FREESHIP,"Free shipping on all orders, no minimum",free_shipping,0,walmart,https://your-affiliate-link,2026-12-31,true,false,"Electronics,Fashion,Home & Garden"
10% Off Health Products,HEALTH10,"Save 10% on vitamins and supplements",percentage,10,walmart,https://your-affiliate-link,2026-06-30,true,false,"Health & Beauty"
$15 Off Hotel Bookings,HOTEL15,"Get $15 off hotel bookings over $100",fixed,15,bookingcom,https://your-affiliate-link,2026-09-30,true,true,"Travel"
20% Off Car Rentals,CAR20,"Save 20% on car rental bookings",percentage,20,expedia,https://your-affiliate-link,2026-07-31,true,false,"Travel"
Buy 2 Get 1 Free Books,B2G1,"Buy 2 books get 1 free on select titles",bogo,0,barnesandnoble,https://your-affiliate-link,2026-05-31,true,false,"Books & Media"
25% Off Skincare,SKINCARE25,"Save 25% on skincare products",percentage,25,sephora,https://your-affiliate-link,2026-06-30,true,true,"Health & Beauty"
Free Gift with Purchase,FREEGIFT,"Free gift with any purchase over $50",free_shipping,0,sephora,https://your-affiliate-link,2026-04-30,false,false,"Health & Beauty"
20% Off Home Decor,HOME20,"Save 20% on home decor items",percentage,20,wayfair,https://your-affiliate-link,2026-08-31,true,false,"Home & Garden"
$25 Off First Booking,NEWBOOKING,"Get $25 off your first hotel booking",fixed,25,bookingcom,https://your-affiliate-link,2026-12-31,true,true,"Travel"
15% Off Running Shoes,RUN15,"Save 15% on running shoes",percentage,15,underarmour,https://your-affiliate-link,2026-07-31,true,false,"Fashion,Sports & Outdoors"
Free Shipping on Orders $50+,FREESHIP50,"Free shipping on orders over $50",free_shipping,0,underarmour,https://your-affiliate-link,2026-06-30,true,false,"Fashion,Sports & Outdoors"
Up to 50% Off Sale Items,DEAL,"Up to 50% off select sale items",free_shipping,0,amazon,https://your-affiliate-link,2026-12-31,false,false,"Electronics,Fashion,Home & Garden"
Flash Sale - Up to 70% Off,FLASH,"Limited time flash sale up to 70% off",free_shipping,0,macys,https://your-affiliate-link,2026-03-31,true,false,"Fashion,Home & Beauty"
Exclusive Member Pricing,DEAL,"Members get exclusive pricing",free_shipping,0,costco,https://your-affiliate-link,2026-12-31,false,true,"Electronics,Food & Dining"
Clearance Sale - Up to 80% Off,CLEARANCE,"Final clearance up to 80% off",free_shipping,0,nordstrom,https://your-affiliate-link,2026-06-30,true,false,"Fashion,Home & Garden"
